date, pm25, pm10, o3, no2, so2, co
2019/11/28, 74, 23, , , , 
2019/11/29, 70, 27, , , , 
2019/11/30, 64, 33, , , , 
2019/12/1, 71, 29, , , , 
2019/12/2, 64, 31, , , , 
2019/12/3, 63, 36, , , , 
2019/12/4, 70, 46, , , , 
2019/12/5, 72, 35, , , , 
2019/12/6, 70, 31, , , , 
2019/12/7, 58, 35, , , , 
2019/12/8, 58, 27, , , , 
2019/12/9, 61, 27, , , , 
2019/12/10, 58, 19, , , , 
2019/12/11, 54, 27, , , , 
2019/12/12, 72, 40, , , , 
2019/12/13, 64, 32, , , , 
2019/12/14, 70, 25, , , , 
2019/12/15, 84, 22, , , , 
2019/12/16, 91, 26, , , , 
2019/12/17, 55, 27, , , , 
2019/12/18, 44, 20, , , , 
2019/12/19, 36, 24, , , , 
2019/12/20, 30, 35, , , , 
2019/12/21, 54, 38, , , , 
2019/12/22, 53, 42, , , , 
2019/12/23, 53, 33, , , , 
2019/12/24, 49, 26, , , , 
2019/12/25, 30, 25, , , , 
2019/12/26, 41, 26, , , , 
2019/12/27, 47, 33, , , , 
2019/12/28, 43, 34, , , , 
2019/12/29, 49, 32, , , , 
2019/12/30, 43, , , , , 
2019/7/2, 42, 30, , , , 
2019/7/3, 52, 31, , , , 
2019/7/4, 43, 40, , , , 
2019/7/5, 51, 37, , , , 
2019/7/6, 55, 24, , , , 
2019/7/7, 45, 18, , , , 
2019/7/8, 36, 10, , , , 
2019/7/9, 27, 11, , , , 
2019/7/10, 23, 15, , , , 
2019/7/11, 24, 17, , , , 
2019/7/12, 27, 13, , , , 
2019/7/13, 27, 19, , , , 
2019/7/14, 25, 29, , , , 
2019/7/15, 39, 41, , , , 
2019/7/16, 50, 20, , , , 
2019/7/17, 60, 8, , , , 
2019/7/18, 41, 46, , , , 
2019/7/20, 51, 23, , , , 
2019/7/21, 42, 28, , , , 
2019/7/22, 41, 25, , , , 
2019/7/23, 42, 39, , , , 
2019/7/24, 50, 49, , , , 
2019/7/25, 55, 20, , , , 
2019/7/26, 50, 34, , , , 
2019/7/27, 32, 42, , , , 
2019/7/28, 52, 12, , , , 
2019/7/29, 41, 26, , , , 
2019/7/30, 27, 16, , , , 
2019/7/31, 31, 36, , , , 
2019/8/1, 36, 33, , , , 
2019/8/2, 47, 38, , , , 
2019/8/3, 48, 51, , , , 
2019/8/4, 50, 45, , , , 
2019/8/5, 60, 30, , , , 
2019/8/6, 54, 28, , , , 
2019/8/7, 32, 31, , , , 
2019/8/8, 38, 37, , , , 
2019/8/9, 47, 34, , , , 
2019/8/10, 48, 26, , , , 
2019/8/11, 40, 28, , , , 
2019/8/12, 38, 31, , , , 
2019/8/13, 38, 58, , , , 
2019/8/14, 50, 42, , , , 
2019/8/15, 61, 27, , , , 
2019/8/16, 50, 16, , , , 
2019/8/17, 33, 19, , , , 
2019/8/18, 27, 24, , , , 
2019/8/19, 31, 34, , , , 
2019/8/20, 42, 41, , , , 
2019/8/21, 51, 34, , , , 
2019/8/22, 43, 45, , , , 
2019/8/23, 47, 62, , , , 
2019/8/24, 54, 39, , , , 
2019/8/25, 58, 30, , , , 
2019/8/26, 37, 29, , , , 
2019/8/27, 33, 29, , , , 
2019/8/28, 46, 18, , , , 
2019/8/29, 30, 23, , , , 
2019/8/30, 32, 33, , , , 
2019/8/31, 35, 37, , , , 
2019/9/1, 49, 37, , , , 
2019/9/2, 50, 39, , , , 
2019/9/3, 45, 58, , , , 
2019/9/4, 54, 55, , , , 
2019/9/5, 65, 19, , , , 
2019/9/6, 41, 26, , , , 
2019/9/7, 27, 16, , , , 
2019/9/8, 38, 9, , , , 
2019/9/9, 22, 4, , , , 
2019/9/10, 20, 25, , , , 
2019/9/11, 20, 27, , , , 
2019/9/12, 42, 34, , , , 
2019/9/13, 48, 32, , , , 
2019/9/14, 41, 16, , , , 
2019/9/15, 31, 17, , , , 
2019/9/16, 24, 34, , , , 
2019/9/17, 37, 26, , , , 
2019/9/18, 40, 20, , , , 
2019/9/19, 29, 20, , , , 
2019/9/20, 30, 19, , , , 
2019/9/21, 26, 26, , , , 
2019/9/22, 29, 27, , , , 
2019/9/23, 33, 39, , , , 
2019/9/24, 35, 46, , , , 
2019/9/25, 44, 54, , , , 
2019/9/26, 52, 27, , , , 
2019/9/27, 55, 17, , , , 
2019/9/28, 37, 20, , , , 
2019/9/29, 35, 17, , , , 
2019/9/30, 35, 14, , , , 
2019/10/1, 29, 14, , , , 
2019/4/2, 45, 42, , , , 
2019/4/3, 42, 38, , , , 
2019/4/4, 40, 38, , , , 
2019/4/5, 43, 42, , , , 
2019/4/6, 40, 44, , , , 
2019/4/7, 49, 48, , , , 
2019/4/8, 49, 28, , , , 
2019/4/9, 43, 33, , , , 
2019/4/10, 41, 33, , , , 
2019/4/11, 39, 38, , , , 
2019/4/12, 42, 31, , , , 
2019/4/13, 42, 24, , , , 
2019/4/14, 36, 32, , , , 
2019/4/15, 42, 46, , , , 
2019/4/16, 46, 41, , , , 
2019/4/17, 50, 50, , , , 
2019/4/18, 49, 36, , , , 
2019/4/19, 53, 29, , , , 
2019/4/20, 42, 29, , , , 
2019/4/21, 38, 35, , , , 
2019/4/22, 42, 48, , , , 
2019/4/23, 51, 47, , , , 
2019/4/24, 53, 45, , , , 
2019/4/25, 56, 63, , , , 
2019/4/26, 74, 64, , , , 
2019/4/27, 70, 33, , , , 
2019/4/28, 64, 18, , , , 
2019/4/29, 32, 32, , , , 
2019/4/30, 32, 36, , , , 
2019/5/1, 48, 33, , , , 
2019/5/2, 49, 17, , , , 
2019/5/3, 34, 11, , , , 
2019/5/4, 28, 25, , , , 
2019/5/5, 22, 43, , , , 
2019/5/6, 55, 29, , , , 
2019/5/7, 46, 31, , , , 
2019/5/8, 43, 28, , , , 
2019/5/9, 41, 27, , , , 
2019/5/10, 49, 37, , , , 
2019/5/11, 45, 32, , , , 
2019/5/12, 47, 33, , , , 
2019/5/13, 52, 48, , , , 
2019/5/14, 49, 65, , , , 
2019/5/15, 70, 51, , , , 
2019/5/16, 79, 21, , , , 
2019/5/17, 53, 26, , , , 
2019/5/18, 25, 43, , , , 
2019/5/19, 48, 32, , , , 
2019/5/20, 50, 28, , , , 
2019/5/21, 37, 40, , , , 
2019/5/22, 45, 50, , , , 
2019/5/23, 54, 59, , , , 
2019/5/24, 63, 66, , , , 
2019/5/25, 78, 49, , , , 
2019/5/26, 89, 32, , , , 
2019/5/27, 62, 13, , , , 
2019/5/28, 45, 10, , , , 
2019/5/29, 30, 7, , , , 
2019/5/30, 18, 26, , , , 
2019/5/31, 26, 32, , , , 
2019/6/1, 46, 28, , , , 
2019/6/2, 45, 27, , , , 
2019/6/3, 37, 29, , , , 
2019/6/4, 55, 16, , , , 
2019/6/5, 38, 27, , , , 
2019/6/6, 40, 30, , , , 
2019/6/7, 49, 25, , , , 
2019/6/8, 46, 34, , , , 
2019/6/9, 51, 15, , , , 
2019/6/10, 52, 24, , , , 
2019/6/11, 35, 17, , , , 
2019/6/12, 50, 15, , , , 
2019/6/13, 34, 9, , , , 
2019/6/14, 37, 5, , , , 
2019/6/15, 20, 32, , , , 
2019/6/16, 30, 19, , , , 
2019/6/17, 46, 30, , , , 
