date, pm25, pm10, o3, no2, so2, co
2015/12/31, 52, , , , , 
2016/1/4, 61, 50, , 3, 16, 14
2015/7/2, 81, 60, , 14, 7, 17
2015/7/3, 88, 59, , 15, 9, 16
2015/7/4, 84, , , , , 
2015/7/7, 46, 55, , 11, 3, 25
2015/7/8, 123, 39, , 10, 4, 13
2015/7/9, 37, 32, , 14, 4, 17
2015/7/10, 44, 57, , 15, 3, 22
2015/7/11, 138, 40, , 7, 2, 17
2015/7/12, 84, 23, , 4, 6, 29
2015/7/13, 56, 41, , 11, 5, 20
2015/7/14, 62, 63, , 17, 4, 29
2015/7/15, 154, 60, , 6, 10, 18
2015/7/16, 141, 26, , 5, 2, 17
2015/7/17, 70, 21, , 5, 13, 13
2015/7/18, 52, 20, , 5, 6, 18
2015/7/19, 49, 48, , 5, 3, 21
2015/7/20, 111, 38, , 6, 5, 17
2015/7/21, 83, 49, , 7, 8, 19
2015/7/22, 79, 46, , 5, 8, 15
2015/7/23, 75, 30, , 3, 5, 13
2015/7/24, 54, 29, , 4, 5, 13
2015/7/25, 55, 21, , 1, 2, 11
2015/7/26, 57, 11, , , 2, 10
2015/7/27, 30, 12, , 2, 10, 10
2015/7/28, 30, 22, , 2, 5, 11
2015/7/29, 37, 22, , 6, 3, 13
2015/7/30, 48, 26, , 8, 9, 14
2015/7/31, 59, 19, , 3, 9, 13
2015/8/1, 56, 18, , 2, 7, 12
2015/8/2, 37, 20, , 2, 2, 12
2015/8/3, 31, 32, , 9, 3, 16
2015/8/4, 61, 44, , 9, 4, 16
2015/8/5, 81, 41, , 3, 20, 14
2015/8/6, 80, 18, , 8, 2, 10
2015/8/7, 32, 40, , 6, 1, 20
2015/8/8, 88, 19, , 2, 1, 12
2015/8/9, 52, 27, , 3, 14, 12
2015/8/10, 62, 34, , 9, 9, 16
2015/8/11, 66, 43, , 9, 3, 16
2015/8/12, 85, 54, , 12, 3, 22
2015/8/13, 103, 70, , 10, 7, 24
2015/8/14, 152, 63, , 9, 4, 27
2015/8/15, 131, 33, , 4, 2, 12
2015/8/16, 70, 26, , 7, 8, 17
2015/8/17, 44, 40, , 10, 4, 18
2015/8/18, 59, 48, , 11, 2, 19
2015/8/19, 88, 42, , 9, 5, 15
2015/8/20, 62, 53, , 9, 4, 18
2015/8/21, 83, 29, , 4, 13, 12
2015/8/22, 57, 19, , 2, 5, 13
2015/8/23, 42, 40, , 7, 1, 21
2015/8/24, 99, 41, , 7, 6, 19
2015/8/25, 95, 24, , 1, 16, 12
2015/8/26, 49, 23, , 4, 1, 12
2015/8/27, 32, 37, , 8, 7, 16
2015/8/28, 64, 23, , 1, 9, 13
2015/8/29, 48, 7, , 4, 1, 13
2015/8/30, 19, 23, , 5, 3, 17
2015/8/31, 60, 34, , 4, 4, 20
2015/9/1, 52, 55, , 6, 3, 18
2015/9/2, 59, 54, , 8, 4, 15
2015/9/3, 62, 57, , 13, 3, 19
2015/9/4, 67, 53, , 11, 7, 15
2015/9/5, 62, 67, , 10, 3, 23
2015/9/6, 95, 37, , , 1, 14
2015/9/7, 68, 22, , 3, 23, 28
2015/9/8, 52, 23, , 7, 5, 16
2015/9/9, 42, 39, , 8, 6, 21
2015/9/10, 40, 54, , 11, 10, 21
2015/9/11, 62, 58, , 10, 5, 21
2015/9/12, 63, 56, , 9, 9, 21
2015/9/13, 60, 45, , 7, 5, 17
2015/9/14, 57, 43, , 11, 3, 17
2015/9/15, 62, 41, , 8, 10, 13
2015/9/16, 53, 40, , 10, 7, 12
2015/9/17, 54, 44, , 7, 6, 18
2015/9/18, 54, 43, , 7, 10, 21
2015/9/19, 59, 54, , 6, 10, 17
2015/9/20, 63, 52, , 8, 7, 17
2015/9/21, 66, 33, , 6, 7, 11
2015/9/22, 52, 54, , 9, 4, 18
2015/9/23, 87, 41, , 9, 4, 13
2015/9/24, 68, 27, , 8, 2, 12
2015/9/25, 51, 15, , 9, 12, 17
2015/9/26, 31, 27, , 6, 5, 19
2015/9/27, 46, 13, , 3, 2, 11
2015/9/28, 25, 10, , 7, 3, 10
2015/9/29, 29, 36, , 8, 3, 14
2015/9/30, 49, 25, , 5, 3, 12
2015/10/1, 40, 12, , 4, 9, 12
2015/4/2, 20, 10, , 10, 3, 12
2015/4/3, 17, 7, , 9, 3, 12
2015/4/4, 11, 10, , 6, 6, 14
2015/4/5, 13, 11, , 6, 5, 16
2015/4/6, 15, 4, , 9, 5, 12
2015/4/7, 9, 4, , 6, 6, 11
2015/4/8, 8, 5, , 10, 4, 12
2015/4/9, 11, 10, , 9, 14, 21
2015/4/10, 16, 15, , 10, 8, 21
2015/4/11, 22, 15, , 12, 10, 16
2015/4/12, 23, 15, , 10, 7, 19
2015/4/13, 23, 9, , 9, 6, 16
2015/4/14, 18, 8, , 5, 12, 16
2015/4/15, 14, 10, , 8, 8, 23
2015/4/16, 17, 11, , 10, 5, 15
2015/4/17, 15, 12, , 10, 8, 15
2015/4/18, 19, 12, , 9, 5, 15
2015/4/19, 25, 7, , 7, 6, 14
2015/4/20, 13, 6, , 8, 7, 22
2015/4/21, 12, 6, , 8, 7, 21
2015/4/22, 19, 9, , 11, 6, 13
2015/4/23, 30, 12, , 11, 6, 20
2015/4/24, 26, 13, , 10, 5, 15
2015/4/25, 27, 17, , 12, 6, 16
2015/4/26, 35, 15, , 9, 3, 13
2015/4/27, 30, 12, , 9, 5, 14
2015/4/28, 31, 25, , 11, 6, 16
2015/4/29, 25, 23, , 8, 9, 23
2015/4/30, 19, 12, , 11, 8, 21
2015/5/1, 20, 16, , 11, 5, 20
2015/5/2, 30, 13, , 9, 4, 22
2015/5/3, 24, , , , , 
2015/5/5, 23, 13, , 11, 6, 18
2015/5/6, 23, 16, , 15, 5, 22
2015/5/7, 36, 35, , 14, 3, 29
2015/5/8, 68, 45, , 5, 9, 11
2015/5/9, 73, 29, , 6, 7, 11
2015/5/10, 53, 26, , 7, 5, 13
2015/5/11, 60, 39, , 11, 7, 14
2015/5/12, 61, 35, , 10, 5, 13
2015/5/13, 58, 47, , 13, 7, 21
2015/5/14, 67, 54, , 13, 6, 19
2015/5/15, 73, 62, , 17, 5, 23
2015/5/16, 135, 29, , 9, 3, 12
2015/5/17, 67, 14, , 3, 3, 10
2015/5/18, 44, 21, , 7, 3, 12
2015/5/19, 48, 53, , 16, 4, 17
2015/5/20, 105, 36, , 9, 20, 10
2015/5/21, 58, 21, , 7, 5, 12
2015/5/22, 47, 40, , 16, 10, 20
2015/5/23, 99, 56, , 13, 3, 15
2015/5/24, 132, 27, , 12, 5, 13
2015/5/25, 58, 53, , 22, 4, 23
2015/5/26, 104, 86, , 18, 3, 37
2015/5/27, 165, 65, , 17, 4, 15
2015/5/28, 113, 83, , 12, 6, 28
2015/5/29, 163, 35, , 10, 5, 16
2015/5/30, 88, 61, , 11, 3, 29
2015/5/31, 140, 25, , 4, 2, 14
2015/6/1, 56, 16, , 5, 21, 14
2015/6/2, 41, 16, , 7, 20, 13
2015/6/3, 43, 27, , 15, 5, 18
2015/6/4, 53, 60, , 9, 11, 28
2015/6/5, 121, 16, , 3, 3, 13
2015/6/6, 34, 20, , 3, 3, 13
