date, pm25, pm10, o3, no2, so2, co
2016/7/19, 122, 89, 6, 38, , 23
2016/7/20, 153, 69, 11, 30, , 4
2016/7/21, 137, 88, 10, 42, , 14
2016/7/22, 155, 85, 14, 35, , 20
2016/7/23, 153, 71, 5, 31, , 9
2016/7/24, 103, 91, 7, 24, , 28
2016/7/25, 162, 38, 13, 18, , 
2016/7/26, 96, 45, 10, 27, , 11
2016/7/27, 59, 107, 10, 46, , 24
2016/7/28, 134, 87, 13, 36, , 15
2016/7/29, 146, 67, 15, 27, , 11
2016/7/30, 125, 58, 13, 20, , 10
2016/7/31, 114, 41, 17, 14, , 10
2016/8/1, 83, 66, 10, 32, , 16
2016/8/2, 92, 81, 11, 40, , 20
2016/8/3, 139, 71, 13, 37, , 10
2016/8/4, 130, 75, 21, 38, , 12
2016/8/5, 154, 65, 20, 29, , 7
2016/8/6, 125, 66, 21, 32, , 7
2016/8/7, 119, 60, 17, 26, , 7
2016/8/8, 124, 72, 16, 37, , 14
2016/8/9, 140, 87, 16, 46, , 17
2016/8/10, 139, 88, 17, 46, , 13
2016/8/11, 132, 73, 21, 28, , 5
2016/8/12, 124, 98, 17, 46, , 17
2016/8/13, 159, 77, 25, 31, , 6
2016/8/14, 154, 81, 16, 34, , 15
2016/8/15, 158, 70, 30, 27, , 14
2016/8/16, 161, 46, 14, 20, , 6
2016/8/17, 91, 40, 19, 19, , 4
2016/8/18, 51, 50, 20, 26, , 6
2016/8/19, 61, 51, 18, 23, , 6
2016/8/20, 67, 55, 21, 24, , 7
2016/8/21, 63, 71, 28, 29, , 14
2016/8/22, 108, 74, 24, 36, , 15
2016/8/23, 91, 55, 12, 23, , 1
2016/8/24, 73, 51, 12, 26, , 3
2016/8/25, 103, 64, 19, 30, , 9
2016/8/26, 106, 60, 21, 23, , 5
2016/8/27, 82, 53, 16, 16, , 2
2016/8/28, 83, 41, 24, 12, , 3
2016/8/29, 63, 65, 23, 27, , 9
2016/8/30, 88, 68, 24, 27, , 7
2016/8/31, 91, 57, 10, 17, , 2
2016/9/1, 78, 60, 23, 20, , 6
2016/9/2, 71, 61, 25, 23, , 6
2016/9/3, 81, 61, 27, 22, , 9
2016/9/4, 93, 59, 28, 19, , 10
2016/9/5, 94, 68, 25, 30, , 9
2016/9/6, 79, 80, 27, 38, , 14
2016/9/7, 92, 84, 33, 35, , 12
2016/9/8, 100, 80, 33, 36, , 10
2016/9/9, 98, 87, 20, 35, , 13
2016/9/10, 97, 94, 33, 29, , 17
2016/9/11, 110, 51, 24, 8, , 5
2016/9/12, 79, 32, 19, 13, , 6
2016/9/13, 56, 67, 22, 29, , 13
2016/9/14, 61, 87, 21, 23, , 13
2016/9/15, 96, 68, 20, 21, , 8
2016/9/16, 81, 69, 20, 19, , 10
2016/9/17, 99, 60, 27, 16, , 9
2016/9/18, 81, 82, 54, 25, , 24
2016/9/19, 145, 69, 47, 24, , 18
2016/9/20, 132, 63, 39, 26, , 12
2016/9/21, 78, 70, 33, 21, , 10
2016/9/22, 80, 65, 41, 22, , 8
2016/9/23, 70, 67, 28, 23, , 9
2016/9/24, 72, 62, 36, 19, , 9
2016/9/25, 69, 44, 30, 9, , 6
2016/9/26, 64, 47, 31, 16, , 7
2016/9/27, 64, 58, 32, 19, , 9
2016/9/28, 78, 73, 23, 18, , 9
2016/9/29, 88, 39, 22, 9, , 6
2016/9/30, 59, 47, 27, 19, , 8
2016/10/1, 54, 54, 29, 15, , 8
2016/4/2, 84, 53, 18, 24, , 7
2016/4/3, 73, 35, 24, 16, , 4
2016/4/4, 63, 49, 15, 12, , 3
2016/4/5, 53, 84, 5, 45, , 16
2016/4/6, 76, 76, 21, 25, , 14
2016/4/7, 101, 62, 15, 28, , 9
2016/4/8, 71, 79, 28, 30, , 16
2016/4/9, 94, 54, 29, 17, , 4
2016/4/10, 66, 54, 35, 28, , 9
2016/4/11, 71, 74, 32, 31, , 13
2016/4/12, 89, 64, 18, 26, , 4
2016/4/13, 80, 87, 3, 34, , 14
2016/4/14, 102, 79, 4, 28, , 10
2016/4/15, 120, 45, 2, 18, , 6
2016/4/16, 75, 28, 5, 20, , 6
2016/4/17, 52, 21, 11, 20, , 7
2016/4/18, 58, 17, 11, 20, , 5
2016/4/19, 39, 44, 18, 24, , 10
2016/4/20, 58, 71, 21, 29, , 14
2016/4/21, 94, 57, 25, , , 8
2016/4/22, 79, 75, 6, , , 16
2016/4/23, 105, 48, 10, , , 5
2016/4/24, 80, 17, 13, , , 3
2016/4/25, 38, 33, 16, , , 9
2016/4/26, 46, 71, 14, , , 17
2016/4/27, 75, 82, 6, , , 20
2016/4/28, 102, 83, 4, , , 18
2016/4/29, 117, 91, 27, , , 23
2016/4/30, 153, 81, 41, , 61, 23
2016/5/1, 154, 75, 13, , 59, 21
2016/5/2, 154, 67, 6, , 59, 14
2016/5/3, 135, 74, 18, 46, , 17
2016/5/4, 119, 82, 20, 23, , 16
2016/5/5, 130, 52, 12, 8, , 6
2016/5/6, 102, 63, 10, 19, , 15
2016/5/7, 101, 76, 22, 12, , 21
2016/5/8, 155, 49, 21, 7, , 7
2016/5/9, 100, 59, 20, 13, , 15
2016/5/10, 125, 63, 7, 15, , 10
2016/5/11, 112, 71, 6, 27, , 21
